"fare_id","route_id","origin_id","destination_id","contains_id"
"100606-GR","100606-JAK.20","","",""
"100606-GR","100606-JAK.21","","",""
"100606-GR","100606-JAK.22","","",""
"100606-GR","100606-JAK.24","","",""
"100606-GR","100606-JAK.25","","",""
"100606-GR","100606-JAK.26","","",""
"100606-GR","100606-JAK.27","","",""
"100606-GR","100606-JAK.28","","",""
"100606-GR","100606-JAK.29","","",""
"100606-GR","100606-JAK.30","","",""
"100606-GR","100606-JAK.31","","",""
"100606-GR","100606-JAK.32","","",""
"100606-GR","100606-JAK.33","","",""
"100606-GR","100606-JAK.34","","",""
"100606-GR","100606-JAK.35","","",""
"100606-GR","100606-JAK.36","","",""
"100606-GR","100606-JAK.37","","",""
"100606-GR","100606-JAK.38","","",""
"100606-GR","100606-JAK.39","","",""
"100606-GR","100606-JAK.40","","",""
"100606-GR","100606-JAK.41","","",""
"100606-GR","100606-JAK.42","","",""
"100606-GR","100606-JAK.44","","",""
"100606-GR","100606-JAK.45","","",""
"100606-GR","100606-JAK.46","","",""
"100606-GR","100606-JAK.47","","",""
"100606-GR","100606-JAK.49","","",""
"100606-GR","100606-JAK.50","","",""
"100606-GR","100606-JAK.51","","",""
"100606-GR","100606-JAK.52","","",""
"100606-GR","100606-JAK.53","","",""
"100606-GR","100606-JAK.54","","",""
"100606-GR","100606-JAK.56","","",""
"100606-GR","100606-JAK.58","","",""
"100606-GR","100606-JAK.59","","",""
"100606-GR","100606-JAK.60","","",""
"100606-GR","100606-JAK.61","","",""
"100606-GR","100606-JAK.64","","",""
"100606-GR","100606-JAK.71","","",""
"100606-GR","100606-JAK.72","","",""
"100606-GR","100606-JAK.73","","",""
"100606-GR","100606-JAK.74","","",""
"100606-GR","100606-JAK.75","","",""
"100606-GR","100606-JAK.77","","",""
"100606-GR","100606-JAK.80","","",""
"100606-GR","100606-JAK.84","","",""
"100606-GR","100606-JAK.85","","",""
"100606-GR","100606-JAK.88","","",""
"100606-GR","100606-JAK.113","","",""
"100606-GR","100606-JAK.115","","",""
"100606-GR","100606-JAK.86","","",""
"100606-GR","100606-JAK.120","","",""
"100606-GR","100606-JAK.43B","","",""
"100606-GR","100606-JAK.43C","","",""
"100606-GR","100606-JAK.110A","","",""
"100606-GR","100606-JAK.118","","",""
"100606-GR","100606-JAK.99","","",""
"100606-GR","100606-JAK.106","","",""
"100606-GR","100606-JAK.23","","",""
"100606-GR","100606-JAK.48A","","",""
"100606-GR","100606-JAK.100","","",""
"100606-GR","100606-JAK.105","","",""
"100606-GR","100606-JAK.89","","",""
"100606-GR","100606-JAK.90","","",""
"100606-GR","100606-JAK.87","","",""
"100606-GR","100606-JAK.98","","",""
"100606-GR","100606-JAK.76","","",""
"100606-GR","100606-JAK.108","","",""
"100606-GR","100606-JAK.102","","",""
"100606-GR","100606-JAK.95","","",""
"100606-GR","100606-JAK.93","","",""
"100606-FP","100606-6W","","",""
"100606-FP","100606-L13E","","",""
"100606-PP","100606-S12","","",""
"100606-PP","100606-S31","","",""
"100606-FP","100606-11P","","",""
"100606-FP","100606-2E","","",""
"100606-FP","100606-2H","","",""
"100606-FP","100606-3B","","",""
"100606-FP","100606-3D","","",""
"100606-FP","100606-8K","","",""
"100606-FP","100606-8M","","",""
"100606-GR","100606-BW2","","",""
"100606-PP3","100606-T21","","",""
